station_id,cast,bottle,sci_name,abundance
1,1,1,RedPico,348
1,1,1,OraPicoProk,382
1,1,1,OraNano,403
1,1,1,HetHNA,311
1,1,2,RedPico,384
1,1,2,OraPicoProk,553
1,1,2,OraNano,390
1,1,2,HetHNA,386
1,2,1,RedPico,260
1,2,1,OraPicoProk,511
1,2,1,OraNano,493
1,2,1,HetHNA,480
1,2,2,RedPico,360
1,2,2,OraPicoProk,570
1,2,2,OraNano,258
1,2,2,HetHNA,520
2,1,1,RedPico,228
2,1,1,OraPicoProk,390
2,1,1,OraNano,341
2,1,1,HetHNA,398
2,1,2,RedPico,450
2,1,2,OraPicoProk,588
2,1,2,OraNano,491
2,1,2,HetHNA,555
2,2,1,RedPico,284
2,2,1,OraPicoProk,581
2,2,1,OraNano,375
2,2,1,HetHNA,390
2,2,2,RedPico,504
2,2,2,OraPicoProk,258
2,2,2,OraNano,265
2,2,2,HetHNA,265
